1,AIRP,85.28,27.693
2,BADG,102.235,51.77
3,BAGH,92.192,23.162
4,BARK,92.375,22.726
5,BELT,83.826,27.457
6,BESI,84.38,28.229
7,BJNM,116.224,40.245
8,BRN2,87.272,26.52
10,CHNR,91.515,24.19
11,DAMA,85.108,27.608
12,DIGH,92.066,23.241
13,DMAU,84.265,27.973
14,GARM,70.317,39.006
15,GHER,84.41,28.375
16,IRKT,104.316,52.219
17,JAFL,92.019,25.179
18,JAML,91.237,25
20,JURI,92.135,24.498
21,KAWA,84.13,27.648
22,KIRT,85.288,27.682
23,KIT3,66.885,39.135
24,KMTR,78.199,41.868
25,KPTI,92.217,22.499
26,KRTV,78.619,50.714
27,KSTU,92.794,55.993
28,KUMT,78.19,41.864
30,MANM,71.68,37.542
